epoch,acc,iou,loss,lr,val_acc,val_iou,val_loss
0,0.9604518413543701,0.49836498498916626,0.35910555720329285,1e-04,0.9734751582145691,0.5984051823616028,0.26274463534355164
1,0.9722498655319214,0.7457459568977356,0.15365266799926758,1e-04,0.972556471824646,0.774528980255127,0.12832683324813843
2,0.9724279642105103,0.8618954420089722,0.07166548818349838,1e-04,0.9721540212631226,0.8598408699035645,0.07465218007564545
3,0.9725666642189026,0.9159528613090515,0.03958549350500107,1e-04,0.9726235270500183,0.9000347852706909,0.052071407437324524
4,0.9725666046142578,0.9392472505569458,0.02773984707891941,1e-04,0.9738374948501587,0.9208071827888489,0.04013804718852043
5,0.9726513624191284,0.9506895542144775,0.022565310820937157,1e-04,0.9728204011917114,0.9161970615386963,0.04317277669906616
6,0.972663938999176,0.9583770036697388,0.01946520432829857,1e-04,0.9736128449440002,0.9294298887252808,0.03596961498260498
7,0.9726022481918335,0.9609469771385193,0.01853625290095806,1e-04,0.973779559135437,0.930191695690155,0.035415228456258774
8,0.9727287888526917,0.9644728899002075,0.01695205084979534,1e-04,0.9738514423370361,0.9348482489585876,0.032922010868787766
9,0.9727470874786377,0.9670056104660034,0.01593482308089733,1e-04,0.9737803339958191,0.9343430399894714,0.03328550606966019
10,0.9727532267570496,0.9679629802703857,0.015490791760385036,1e-04,0.9734389781951904,0.9269863963127136,0.037027303129434586
11,0.9728000164031982,0.9687721133232117,0.01509244367480278,1e-04,0.9734280109405518,0.929103672504425,0.036109622567892075
12,0.9725489020347595,0.9636921882629395,0.01753094792366028,1e-04,0.9730565547943115,0.9270966053009033,0.037900809198617935
13,0.9727494120597839,0.9686679840087891,0.015282527543604374,1e-05,0.9732993245124817,0.9292055368423462,0.036362722516059875
14,0.9728034734725952,0.9693960547447205,0.014874923974275589,1e-05,0.9735551476478577,0.9312933683395386,0.03497045859694481
15,0.9728080034255981,0.9702624678611755,0.01444377563893795,1e-05,0.9735637903213501,0.9310848116874695,0.03502645716071129
16,0.9728266000747681,0.9709300398826599,0.014094319194555283,1e-05,0.973594069480896,0.9313752055168152,0.03487301990389824
17,0.9728776216506958,0.9712218046188354,0.01391857210546732,1e-06,0.9736666679382324,0.9318133592605591,0.034577250480651855
18,0.972838819026947,0.9713975191116333,0.013850356452167034,1e-06,0.9735977649688721,0.9310587048530579,0.03501876816153526
